"Surname","First Name","Other Names","Preferred Name","Initials","Title","Salutation","Honorific","Gender","Telephone","Fax","Political Party","State","Electorate","ElectorateAddressLine1","ElectorateAddressLine2","ElectorateSuburb","ElectorateState","ElectoratePostCode","ElectorateTelephone","ElectorateFax","ElectorateTollFree","ElectoratePostAddress","ElectoratePostSuburb","ElectoratePostState","ElectoratePostPostCode","LabelAddress","LabelSuburb","LabelState","LabelPostCode","Parliamentary Title"
"Albanese","Anthony","Norman",,"A. N.","Hon","Mr","MP","MALE","(02) 6277 4022","(02) 6277 8562","ALP","NSW","Grayndler","334A Marrickville Road",,"Marrickville","NSW",2204,"(02) 9564 3588","(02) 9564 1734",,"PO Box 5100","Marrickville","NSW",2204,"PO Box 5100","Marrickville","NSW",2204,"Leader of the Opposition"
"Alexander","John","Gilbert","John","J. G.","Mr","Mr","OAM, MP","MALE","(02) 6277 4804","(02) 6277 8581","LP","NSW","Bennelong","32 Beecroft Road",,"Epping","NSW",2121,"(02) 9869 4288","(02) 9869 4833",,"PO Box 872",,,,"PO Box 872","Epping","NSW",2121,
"Allen","Katrina","Jane","Katie","K. J.","Dr","Dr","MP","FEMALE","(02) 6277 4100","(02) 6277 8408","LP","VIC","Higgins","1/1343 Malvern Road",,"Malvern","VIC",3144,"(03) 9822 4422",,,,,,,"1/1343 Malvern Road","Malvern","VIC",3144,
"Aly","Anne",,"Anne","A.","Dr","Dr","MP","FEMALE","(02) 6277 4876","(02) 6277 8526","ALP","WA","Cowan","Shop 3, Kingsway Shopping Centre","168 Wanneroo Road","Madeley","WA",6065,"(08) 9409 4517","(08) 9409 9361",,"PO Box 219","Kingsway","WA",6065,"PO Box 219","Kingsway","WA",6065,
"Andrews","Karen","Lesley","Karen","Karen","Hon","Mrs","MP","FEMALE","(02) 6277 7070","(02) N/A","LNP","QLD","McPherson","Ground Floor The Point 47 Watts Drive",,"Varsity Lakes","QLD",4227,"(07) 5580 9111","(07) 5580 9700",,"PO Box 409",,,,"PO Box 409","Varsity Lakes","QLD",4227,"Minister for Industry, Science and Technology"
"Andrews","Kevin","James",,"Kevin","Hon","Mr","MP","MALE","(02) 6277 4023","(02) 6277 4074","LP","VIC","Menzies","1st Floor 651-653 Doncaster Road",,"Doncaster","VIC",3108,"(03) 9848 9900","(03) 9848 2741",,"PO Box 124",,,,"PO Box 124","Doncaster","VIC",3108,
"Archer","Bridget","Kathleen",,"B. K.","Mrs","Mrs","MP","FEMALE","(02) 6277 4464","(02) 6277 8475","LP","TAS","Bass","100 St John Street",,"Launceston","TAS",7250,"(03) 6334 7033","(03) 6334 7055",,"GPO Box 5035",,,,"GPO Box 5035","Launceston","TAS",7250,
"Bandt","Adam","Paul",,"A. P.","Mr","Mr","MP","MALE","(02) 6277 4775","(02) 6277 8583","AG","VIC","Melbourne","296 Brunswick Street",,"Fitzroy","VIC",3065,"(03) 9417 0759","(03) N/A",,,,,,"296 Brunswick Street","Fitzroy","VIC",3065,
"Bell","Angie","Marion",,"A. M.","Ms","Ms","MP","FEMALE","(02) 6277 4390","(02) 6277 8409","LNP","QLD","Moncrieff","65-67 Thomas Drive",,"Chevron Island","QLD",4217,"(07) 5504 6000",,,"PO Box 4922","Gold Coast MC","QLD",9726,"PO Box 4922","Gold Coast MC","QLD",9726,
"Bird","Sharon","Leah",,"S. L.","Hon","Ms","MP","FEMALE","(02) 6277 4244","(02) 6277 4260","ALP","NSW","Cunningham","74 Crown Street",,"Wollongong","NSW",2500,"(02) 4228 5899","(02) 4228 5077",,"PO Box 387","Wollongong","NSW",2520,"PO Box 387","Wollongong","NSW",2520,
